date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2021-01-01,597376974,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-01-16,597589553,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-02-01,597634059,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-02-16,598120950,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-03-01,598789934,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-03-16,600467427,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-04-01,605462269,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-04-16,15664985,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-05-01,45340226,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-05-16,86832038,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-06-01,130570149,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-06-16,167125077,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-07-01,212669282,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-07-16,258857123,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-08-01,305831794,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-08-16,350662566,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-09-01,393978413,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-09-16,432553519,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-10-01,468585743,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-10-16,488323071,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-11-01,505381822,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-11-16,517964020,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-12-01,521839055,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2021-12-16,522607702,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
